rbins dm star gas
877.5 8.65795725721e+13 3.43586268722e+12 1.15804554873e+13
882.5 8.69585806299e+13 3.43710551921e+12 1.16332269972e+13
887.5 8.73384506114e+13 3.43893165338e+12 1.16860331094e+13
892.5 8.77190431716e+13 3.43996317988e+12 1.17388953604e+13
897.5 8.80955685498e+13 3.44083295934e+12 1.17917676745e+13
902.5 8.84727914125e+13 3.44164501311e+12 1.18445598841e+13
907.5 8.88557826154e+13 3.44247088668e+12 1.18974902131e+13
912.5 8.92505146188e+13 3.44420014374e+12 1.19504124796e+13
917.5 8.96484688994e+13 3.44632997788e+12 1.20034511212e+13
922.5 9.00559928603e+13 3.45102753577e+12 1.20566977504e+13
927.5 9.04678136764e+13 3.46066730454e+12 1.21106739309e+13
932.5 9.08640898753e+13 3.46303444686e+12 1.21636341554e+13
937.5 9.1262155337e+13 3.46739333669e+12 1.22164398139e+13
942.5 9.16653544039e+13 3.47290819819e+12 1.22692599741e+13
947.5 9.20745985543e+13 3.50511581669e+12 1.23220796123e+13
952.5 9.24724511139e+13 3.50744789802e+12 1.23749797815e+13
957.5 9.28645466246e+13 3.50905187693e+12 1.24283336809e+13
962.5 9.32540509101e+13 3.51101718663e+12 1.24820579034e+13
967.5 9.36431404271e+13 3.51238398961e+12 1.25358607868e+13
972.5 9.40352524963e+13 3.51453587191e+12 1.25894150809e+13
977.5 9.44402351308e+13 3.53789519108e+12 1.26429179115e+13
982.5 9.48231959227e+13 3.53915039405e+12 1.26959900431e+13
987.5 9.52043497561e+13 3.54650540448e+12 1.27490300301e+13
992.5 9.55758091939e+13 3.54788777054e+12 1.28019543602e+13
997.5 9.59448139491e+13 3.54855934662e+12 1.28548592662e+13
